year;month;day;day_of_week;hour;minute;duration_in_minutes;power_usage
*;*;*;*;0;0;60;0.3
*;*;*;*;1;0;60;0.3
*;*;*;*;2;0;60;0.3
*;*;*;*;3;0;60;0.3
*;*;*;*;4;0;60;0.4
*;*;*;*;5;0;60;0.4
*;*;*;*;6;0;60;0.4
*;*;*;*;7;0;60;0.4
*;*;*;*;8;0;60;0.4
*;*;*;*;9;0;60;0.4
*;*;*;*;10;0;60;0.3
*;*;*;*;11;0;60;0.3
*;*;*;*;12;0;60;0.3
*;*;*;*;13;0;60;0.3
*;*;*;*;14;0;60;0.3
*;*;*;*;15;0;60;0.3
*;*;*;*;16;0;60;0.3
*;*;*;*;17;0;60;0.3
*;*;*;*;18;0;60;0.3
*;*;*;*;19;0;60;0.3
*;*;*;*;20;0;60;0.3
*;*;*;*;21;0;60;0.3
*;*;*;*;22;0;60;0.3
*;*;*;*;23;0;60;0.3
