year;month;day;day_of_week;hour;minute;duration_in_minutes;power_usage
*;*;*;*;0;0;60;0
*;*;*;*;1;0;60;0
*;*;*;*;2;0;60;0
*;*;*;*;3;0;60;0
*;*;*;*;4;0;60;0
*;*;*;*;5;0;60;0
*;*;*;*;6;0;60;0
*;*;*;*;7;0;60;0
*;*;*;*;8;0;60;0
*;*;*;*;9;0;60;0
*;*;*;*;10;0;60;0
*;*;*;*;11;0;60;0
*;*;*;*;12;0;60;5.5
*;*;*;*;13;0;60;5.5
*;*;*;*;14;0;60;5.5
*;*;*;*;15;0;60;5.5
*;*;*;*;16;0;60;5.5
*;*;*;*;17;0;60;5.5
*;*;*;*;18;0;60;5.5
*;*;*;*;19;0;60;5.5
*;*;*;*;20;0;60;5.5
*;*;*;*;21;0;60;5.5
*;*;*;*;22;0;60;0
*;*;*;*;23;0;60;0
