year;month;day;day_of_week;hour;minute;duration_in_minutes;power_usage
*;*;*;*;0;0;60;0
*;*;*;*;1;0;60;0
*;*;*;*;2;0;60;0
*;*;*;*;3;0;60;0
*;*;*;*;4;0;60;0
*;*;*;*;5;0;60;0
*;*;*;*;6;0;60;0
*;*;*;*;7;0;60;0
*;*;*;*;8;0;60;0
*;*;*;*;9;0;60;0
*;*;*;*;10;0;60;-0.05
*;*;*;*;11;0;60;-0.15
*;*;*;*;12;0;60;-0.2
*;*;*;*;13;0;60;-0.15
*;*;*;*;14;0;60;-0.1
*;*;*;*;15;0;60;-0.1
*;*;*;*;16;0;60;-0.05
*;*;*;*;17;0;60;0
*;*;*;*;18;0;60;0
*;*;*;*;19;0;60;0
*;*;*;*;20;0;60;0
*;*;*;*;21;0;60;0
*;*;*;*;22;0;60;0
*;*;*;*;23;0;60;0
